Player,Team,Nationality,Position,Pace,Dribbling,Heading,Highpass,Resilience,Shooting,Tackling,Arial Ability,Saving,Handling
Roman Bürki,CITY,Switzerland,GK,3,3,0,6,3,0,0,4,5,4
Timo Baumgartl,CITY,Germany,DEF,3,2,5,3,4,2,5,,,
Fallou Fall,CITY,Senegal,DEF,4,3,6,3,5,2,5,,,
Tomas Totland,CITY,Norway,DEF,5,4,3,3,4,2,4,,,
Marcel Hartel,CITY,Germany,MID,4,5,2,5,4,5,3,,,
Eduard Löwen,CITY,Germany,MID,4,5,3,6,5,5,4,,,
Célio Pompeu,CITY,Brazil,FWD,5,5,2,4,4,4,3,,,
Conrad Wallem,CITY,Norway,FWD,5,4,3,4,5,4,4,,,
Simon Becher,CITY,US,STR,4,4,4,2,4,5,2,,,
Sang-bin Jeong,CITY,Korea,FWD,6,5,2,3,3,4,2,,,
Cedric Teuchert,CITY,Germany,FWD,4,4,3,3,4,5,2,,,
