Player,Team,Nationality,Position,Pace,Dribbling,Heading,Highpass,Resilience,Shooting,Tackling,Arial Ability,Saving,Handling
Cristiano Ribeiro,Cozmos,Portugal,FWD,3,3,1,5,4,2,1,,,
Carlos Yugar,Cozmos,Bolivia,FWD,4,1,3,6,5,2,1,,,
Conor McNulty,Cozmos,Ireland,FWD,5,4,4,5,1,5,1,,,
Van De Kerkhof,Cozmos,Netherlands,MID,5,5,2,6,4,4,1,,,
Andre Attah,Cozmos,Ghana,DEF,5,2,4,3,5,3,5,,,
Nicolae Rusu,Cozmos,Romania,FWD,4,4,4,4,5,6,1,,,
Memphis Marell,Cozmos,Netherlands,DEF,4,1,6,4,6,2,5,,,
Tyler Dionte,Cozmos,United States,MID,4,2,6,4,5,3,4,,,
Oliver Fruin,Cozmos,England,ST,4,3,6,4,6,5,1,,,
Tomas Vrabec,Cozmos,Czech Republic,DEF,5,1,6,4,6,2,5,,,
Vinicius Eubsinno,Cozmos,Brazil,GK,5,3,,6,6,,,6,4,4
