Player,Team,Nationality,Position,Pace,Dribbling,Heading,Highpass,Resilience,Shooting,Tackling,Aerial Ability,Saving,Handling
Patrick Schulte,Crew,US,GK,2,3,0,5,4,0,0,4,4,5
Steven Moreira,Crew,Cape Verde,DEF,4,4,4,4,6,2,5,,,
Rudy Camacho,Crew,France,DEF,3,2,5,5,5,1,5,,,
DeJuan Jones,Crew,US,DEF,5,4,4,4,4,2,4,,,
Yaw Yeboah,Crew,Ghana,MID,5,5,2,5,3,3,4,,,
Max Arfsten,Crew,US,MID,4,4,3,4,3,3,3,,,
Sean Zawadzki,Crew,US,FWD,3,3,4,4,5,3,5,,,
Derrick Jones,Crew,US,FWD,3,4,4,3,4,2,4,,,
Cucho Hernandez,Crew,Columbia,STR,5,6,4,4,5,6,3,,,
Diego Rossi,Crew,Uruguay,FWD,5,5,2,4,4,5,2,,,
Christian Ramirez,Crew,US,FWD,3,3,5,3,4,5,2,,,
