Player,Team,Nationality,Position,Pace,Dribbling,Heading,Highpass,Resilience,Shooting,Tackling,Aerial Ability,Saving,Handling
Liam O'Conner,FA,Ireland,DEF,5,1,3,4,4,1,2,,,
Radu Patras,FA,Moldova,DEF,5,1,3,4,4,3,2,,,
Victor Sesay,FA,Nigeria,DEF,6,2,2,4,3,5,2,,,
Steven Mitchell,FA,Northern Ireland,FWD,4,3,3,5,4,4,1,,,
Erling Anderson,FA,Norway,DEF,5,1,5,4,5,2,3,,,
Lionel Ruiz,FA,Argentina,FWD,6,5,2,5,3,4,1,,,
Andrew Robbie,FA,Scotland,FWD,6,4,1,5,4,4,2,,,
Aaron Langdon,FA,Australia,DEF,5,4,3,5,4,4,2,,,
Felix Kalla,FA,Germany,DEF,5,3,3,6,5,1,4,,,
Ismael Nazef,FA,Algeria,DEF,5,2,4,6,4,3,3,,,
Neymar Andre,FA,Brazil,FWD,4,6,3,5,5,4,1,,,
Stevan Toothnail,FA,Montenegro,DEF,5,2,4,5,6,2,4,,,
Gavi Delgado,FA,Spain,DEF,5,4,4,5,5,2,3,,,
Thiago Lessa,FA,Brazil,DEF,5,2,4,5,6,2,5,,,
Marco Longo,FA,Italy,DEF,4,2,6,3,6,2,6,,,
Virgil Werdekker,FA,Netherlands,DEF,4,3,3,6,4,4,5,,,
Oliver Goaley,FA,England,FWD,4,4,3,6,5,4,3,,,
Paul Iwu,FA,France,DEF,5,3,4,4,6,4,3,,,
Kieran Stewart,FA,Scotland,DEF,5,4,3,5,5,4,3,,,
Eden Willems,FA,Belgium,DEF,5,3,5,5,5,3,4,,,
Emil Ekstrom,FA,Sweden,DEF,5,2,4,5,6,3,5,,,
Tim Firrell,FA,Australia,GK,5,1,,5,6,,,6,3,4
Oliver Littlewood,FA,England,DEF,4,4,4,6,5,4,4,,,
Itumeleng Nkosi,FA,South Africa,GK,6,2,,4,6,,,5,4,4
