Player,Team,Nationality,Position,Pace,Dribbling,Heading,Highpass,Resilience,Shooting,Tackling,Aerial Ability,Saving,Handling
Drake Callender,Inter Miami,US,GK,2,2,1,4,5,1,1,4,5,4
Marcelo Weigandt,Inter Miami,Argentina,DEF,4,3,4,4,5,2,4,,,
Tomas Aviles,Inter Miami,Argentina,DEF,4,2,4,3,4,1,5,,,
Serhiy Kryvtsov,Inter Miami,Ukraine,DEF,2,2,5,4,4,1,4,,,
Jordi Alba,Inter Miami,Spain,DEF,5,5,2,6,4,3,4,,,
Sergio Busquets,Inter Miami,Spain,MID,2,4,4,6,5,2,5,,,
Federico Redondo,Inter Miami,Argentina,MID,3,4,3,5,4,2,4,,,
Julian Gressel,Inter Miami,US,MID,4,3,3,5,5,3,3,,,
Lionel Messi,Inter Miami,Argentina,FWD,4,6,2,6,4,6,1,,,
Luis Suarez,Inter Miami,Uruguay,FWD,3,4,4,4,4,6,1,,,
Robert Taylor,Inter Miami,Finland,FWD,5,4,2,4,4,4,2,,,
Hugo Lloris,LAFC,France,GK,2,2,1,4,5,1,1,4,5,5
Sergi Palencia,LAFC,Spain,DEF,5,3,3,4,5,2,5,,,
Jesus Murillo,LAFC,Colombia,DEF,4,2,5,3,5,1,5,,,
Aaron Long,LAFC,US,DEF,4,2,5,3,4,1,5,,,
Ryan Hollingshead,LAFC,US,DEF,4,3,4,4,5,3,4,,,
Ilie Sanchez,LAFC,Spain,MID,2,4,3,5,5,2,5,,,
Timothy Tillman,LAFC,US,MID,4,4,3,4,5,3,4,,,
Eduard Atuesta,LAFC,Colombia,MID,3,4,2,5,4,3,4,,,
Cristian Olivera,LAFC,Uruguay,FWD,6,4,2,3,4,4,2,,,
Olivier Giroud,LAFC,France,FWD,2,3,6,4,5,5,1,,,
Denis Bouanga,LAFC,Gabon,FWD,6,5,3,4,5,5,2,,,
Stefan Frei,Seattle,Switzerland,GK,2,2,1,4,5,1,1,4,5,4
Alex Roldan,Seattle,El Salvador,DEF,4,3,3,4,5,2,4,,,
Yeimar Gomez,Seattle,Colombia,DEF,4,2,5,3,5,1,5,,,
Jackson Ragen,Seattle,US,DEF,3,2,5,4,4,1,5,,,
Nouhou Tolo,Seattle,Cameroon,DEF,5,3,3,3,5,1,5,,,
Joao Paulo,Seattle,Brazil,MID,3,4,3,5,5,3,5,,,
Albert Rusnak,Seattle,Slovakia,MID,4,5,2,5,4,4,3,,,
Cristian Roldan,Seattle,US,MID,4,4,3,4,6,3,4,,,
Pedro de la Vega,Seattle,Argentina,FWD,5,5,2,4,4,4,2,,,
Jordan Morris,Seattle,US,FWD,5,4,4,3,5,4,2,,,
Paul Rothrock,Seattle,US,FWD,4,4,2,4,4,3,3,,,
Joe Willis,Nashville,US,GK,2,2,1,4,4,1,1,4,4,4
Shaq Moore,Nashville,US,DEF,5,3,3,4,5,2,4,,,
Walker Zimmerman,Nashville,US,DEF,3,2,6,3,5,2,5,,,
Jack Maher,Nashville,US,DEF,3,2,4,3,4,1,4,,,
Daniel Lovitz,Nashville,US,DEF,4,3,3,4,4,2,4,,,
Anibal Godoy,Nashville,Panama,MID,3,3,3,4,5,2,5,,,
Sean Davis,Nashville,US,MID,3,3,3,4,5,2,4,,,
Hany Mukhtar,Nashville,Germany,MID,5,5,2,5,4,5,2,,,
Jacob Shaffelburg,Nashville,Canada,FWD,6,4,2,4,4,3,2,,,
Sam Surridge,Nashville,England,FWD,4,3,5,3,4,4,1,,,
Tyler Boyd,Nashville,US,FWD,4,4,2,4,4,3,2,,,
