Player,Team,Nationality,Position,Pace,Dribbling,Heading,Highpass,Resilience,Shooting,Tackling,Aerial Ability,Saving,Handling
Matt Turner,USMNT,US,GK,2,2,1,4,5,1,1,4,5,4
Sergino Dest,USMNT,US,DEF,5,5,2,4,4,3,4,,,
Chris Richards,USMNT,US,DEF,4,3,5,3,4,2,5,,,
Tim Ream,USMNT,US,DEF,3,3,4,5,5,1,5,,,
Antonee Robinson,USMNT,US,DEF,6,4,3,4,5,2,4,,,
Tyler Adams,USMNT,US,MID,4,3,3,4,6,2,6,,,
Weston McKennie,USMNT,US,MID,4,4,5,4,5,4,4,,,
Yunus Musah,USMNT,US,MID,5,5,2,4,4,2,4,,,
Christian Pulisic,USMNT,US,FWD,5,6,2,5,4,5,2,,,
Tim Weah,USMNT,US,FWD,6,4,2,4,4,4,2,,,
Folarin Balogun,USMNT,US,STR,5,4,3,3,4,5,1,,,
Jordan Pickford,England,England,GK,2,2,1,5,5,1,1,4,5,4
Kyle Walker,England,England,DEF,6,4,3,4,5,2,5,,,
John Stones,England,England,DEF,4,4,5,5,5,2,5,,,
Marc Guehi,England,England,DEF,4,3,5,4,5,1,5,,,
Luke Shaw,England,England,DEF,4,4,3,5,4,3,4,,,
Declan Rice,England,England,MID,4,4,4,5,6,3,6,,,
Jude Bellingham,England,England,MID,5,5,4,5,6,5,5,,,
Phil Foden,England,England,MID,5,6,2,5,4,5,2,,,
Bukayo Saka,England,England,FWD,6,6,2,5,5,5,3,,,
Harry Kane,England,England,STR,3,4,5,6,5,6,2,,,
Jack Grealish,England,England,FWD,4,6,2,5,4,4,2,,,
Guillermo Ochoa,Mexico,Mexico,GK,2,2,1,4,5,1,1,4,5,4
Jorge Sanchez,Mexico,Mexico,DEF,5,4,3,3,4,2,4,,,
Cesar Montes,Mexico,Mexico,DEF,3,2,5,4,4,2,5,,,
Johan Vasquez,Mexico,Mexico,DEF,3,3,5,4,4,1,5,,,
Jesus Gallardo,Mexico,Mexico,DEF,5,4,3,4,5,3,4,,,
Edson Alvarez,Mexico,Mexico,MID,3,3,5,4,6,3,6,,,
Luis Chavez,Mexico,Mexico,MID,4,4,2,5,4,5,4,,,
Erick Sanchez,Mexico,Mexico,MID,4,5,2,4,5,3,4,,,
Hirving Lozano,Mexico,Mexico,FWD,6,5,2,4,4,4,2,,,
Santiago Gimenez,Mexico,Mexico,FWD,4,4,5,3,5,5,2,,,
Uriel Antuna,Mexico,Mexico,FWD,6,4,2,4,4,3,2,,,
Maxime Crepeau,Canada,Canada,GK,2,2,1,3,4,1,1,4,4,4
Alistair Johnston,Canada,Canada,DEF,5,4,3,4,5,2,5,,,
Moise Bombito,Canada,Canada,DEF,6,3,4,3,4,1,4,,,
Derek Cornelius,Canada,Canada,DEF,4,2,5,3,4,1,4,,,
Alphonso Davies,Canada,Canada,DEF,6,6,3,4,5,4,4,,,
Stephen Eustaquio,Canada,Canada,MID,3,4,3,5,5,3,4,,,
Ismael Kone,Canada,Canada,MID,5,5,3,4,4,3,4,,,
Tajon Buchanan,Canada,Canada,STR,6,5,2,4,4,3,3,,,
Liam Millar,Canada,Canada,MID,5,4,2,4,4,3,2,,,
Jonathan David,Canada,Canada,FWD,5,5,3,4,5,5,2,,,
Cyle Larin,Canada,Canada,FWD,4,3,5,3,5,5,2,,,
Unai Simon,Spain,Spain,GK,2,3,1,5,4,1,1,4,5,4
Dani Carvajal,Spain,Spain,DEF,4,4,3,5,6,3,5,,,
Aymeric Laporte,Spain,Spain,DEF,3,4,5,5,5,2,5,,,
Robin Le Normand,Spain,Spain,DEF,4,3,5,4,5,1,5,,,
Marc Cucurella,Spain,Spain,DEF,5,4,2,4,6,2,5,,,
Rodri,Spain,Spain,MID,3,4,4,6,6,4,6,,,
Fabian Ruiz,Spain,Spain,MID,4,5,3,5,5,4,4,,,
Pedri,Spain,Spain,MID,4,6,2,6,4,3,3,,,
Lamine Yamal,Spain,Spain,FWD,5,6,1,5,4,4,2,,,
Alvaro Morata,Spain,Spain,FWD,4,4,5,4,5,5,2,,,
Nico Williams,Spain,Spain,FWD,6,6,2,4,4,4,2,,,
Mike Maignan,France,France,GK,3,3,1,5,5,1,1,5,6,5
Jules Kounde,France,France,DEF,5,4,4,5,5,2,6,,,
Dayot Upamecano,France,France,DEF,5,3,5,4,4,1,5,,,
William Saliba,France,France,DEF,5,4,5,4,5,1,6,,,
Theo Hernandez,France,France,DEF,6,5,3,5,5,3,4,,,
N'Golo Kante,France,France,MID,5,4,2,5,6,3,6,,,
Aurelien Tchouameni,France,France,MID,4,4,4,5,5,4,5,,,
Antoine Griezmann,France,France,MID,4,5,3,6,5,5,3,,,
Ousmane Dembele,France,France,FWD,6,6,2,5,3,4,2,,,
Kylian Mbappe,France,France,STR,6,6,3,5,5,6,2,,,
Marcus Thuram,France,France,FWD,5,5,4,4,4,4,2,,,
