Player,Team,Nationality,Position,Pace,Dribbling,Highpass,Resilience,Shooting,Tackling,Aerial Ability,Saving,Handling,PoolTag
Alistair Johnston,canada,Canada,DEF,5,3,4,6,3,5,3,0,0,
Alphonso Davies,canada,Canada,DEF,6,6,4,5,3,4,3,0,0,
Cyle Larin,canada,Canada,FWD,5,3,5,5,6,1,6,0,0,
Derek Cornelius,canada,Canada,DEF,4,1,6,4,1,4,5,0,0,
Ismael Kone,canada,Canada,MID,5,5,6,4,3,2,2,0,0,
Jonathan David,canada,Canada,FWD,5,3,5,5,5,2,4,0,0,
Liam Millar,canada,Canada,MID,5,3,5,4,3,1,2,0,0,
Maxime Crepeau,canada,Canada,GK,4,3,3,5,0,0,5,5,4,
Moise Bombito,canada,Canada,DEF,6,2,2,5,1,5,4,0,0,
Stephen Eustaquio,canada,Canada,MID,5,4,5,5,3,4,4,0,0,
Tajon Buchanan,canada,Canada,ST,6,3,2,6,4,3,4,0,0,
Alex Mățan,city,Romania,FWD,5,4,5,6,3,2,2,0,0,
Carlo Holse,city,Denmark,FWD,6,4,5,4,5,3,3,0,0,
Daniel Edelman,city,US,MID,5,3,4,5,2,5,3,0,0,
Eduard Löwen,city,Germany,MID,5,3,6,5,5,3,3,0,0,
Fallou Fall,city,Senegal,DEF,4,1,2,6,1,5,5,0,0,
Mamadou Fall,city,Senegal,DEF,4,1,5,5,1,3,4,0,0,
Marcel Hartel,city,Germany,MID,6,4,5,5,5,3,2,0,0,
Roman Bürki,city,Switzerland,GK,4,2,5,5,0,0,5,5,4,
TBD,city,Brazil,ST,4,4,3,6,3,3,5,0,0,
Timo Baumgartl,city,Germany,DEF,4,1,5,5,1,6,4,0,0,
Tomas Totland,city,Norway,DEF,5,2,5,5,4,3,4,0,0,
Andreas Herrera,crew,Colombia,DEF,5,2,4,5,3,4,3,0,0,
Brais Méndez,crew,Spain,FWD,5,4,5,4,6,3,3,0,0,
Dylan Chambost,crew,France,MID,5,5,4,5,2,1,4,0,0,
Hugo Picard,crew,France,FWD,4,3,4,6,3,2,3,0,0,
Malte Amundsen,crew,Denmark,DEF,6,3,5,5,1,4,3,0,0,
Max Arfsten,crew,US,MID,5,4,5,4,3,4,5,0,0,
Patrick Schulte,crew,US,GK,4,3,5,5,0,0,5,5,4,
Rudy Camacho,crew,France,DEF,5,1,5,6,2,4,4,0,0,
Sean Zawadzki,crew,US,MID,5,5,3,6,2,3,4,0,0,
Taha Habroune,crew,US,MID,4,2,5,4,3,2,3,0,0,
Wessam Abou Ali,crew,Palestine,ST,5,4,4,4,5,2,6,0,0,
Bukayo Saka,england,England,FWD,6,6,5,5,5,2,2,0,0,
Declan Rice,england,England,MID,5,3,5,6,1,6,5,0,0,
Harry Kane,england,England,ST,4,4,6,5,6,2,5,0,0,
Jack Grealish,england,England,FWD,5,6,6,4,1,1,2,0,0,
John Stones,england,England,DEF,4,3,6,5,3,5,5,0,0,
Jordan Pickford,england,England,GK,4,3,5,5,0,0,3,5,4,
Jude Bellingham,england,England,MID,5,6,5,6,6,3,2,0,0,
Kyle Walker,england,England,DEF,6,3,5,5,1,6,3,0,0,
Luke Shaw,england,England,DEF,4,3,6,4,6,3,5,0,0,
Marc Guehi,england,England,DEF,4,1,5,6,2,3,5,0,0,
Phil Foden,england,England,MID,6,3,5,3,5,2,3,0,0,
Antoine Griezmann,france,France,MID,5,5,6,6,5,1,2,0,0,
Aurelien Tchouameni,france,France,MID,5,3,5,6,3,5,3,0,0,
Dayot Upamecano,france,France,DEF,5,1,5,4,2,5,6,0,0,
Jules Kounde,france,France,DEF,5,1,6,5,2,6,3,0,0,
Kylian Mbappe,france,France,ST,6,6,5,5,6,1,4,0,0,
Marcus Thuram,france,France,FWD,5,5,5,4,2,2,1,0,0,
Mike Maignan,france,France,GK,4,3,5,6,0,0,5,6,5,
N'Golo Kante,france,France,MID,5,3,6,6,3,6,3,0,0,
Ousmane Dembele,france,France,FWD,6,6,6,3,5,3,2,0,0,
Theo Hernandez,france,France,DEF,6,5,5,5,5,4,3,0,0,
William Saliba,france,France,DEF,5,3,4,5,2,6,5,0,0,
Aaron Langdon,free-agent,Australia,MID,5,4,5,4,4,2,3,0,0,legend
Alphonso Taylor,free-agent,Canada,DEF,5,2,6,3,3,5,4,0,0,legend
Andre Attah,free-agent,Ghana,MID,5,3,3,5,3,5,4,0,0,legend
Andrew Robbie,free-agent,Scotland,MID,6,4,5,4,4,2,1,0,0,legend
Carlos Yugar,free-agent,Bolivia,FWD,4,1,6,5,2,2,3,0,0,legend
Cengiz K. Ozcan,free-agent,Turkey,DEF,4,1,5,6,2,3,6,0,0,icon
Christian Walton,free-agent,United States,MID,6,3,6,3,4,3,3,0,0,icon
Conor McNulty,free-agent,Ireland,MID,5,4,5,1,5,1,4,0,0,icon
Cristiano Ribeiro,free-agent,Portugal,FWD,6,4,5,4,2,1,1,0,0
Cristiano Ronaldo,free-agent,Portugal,FWD,5,5,3,6,6,3,4,0,0,icon
Diego Maradona,free-agent,Argentina,MID,4,5,6,6,5,3,3,0,0,legend
Dusan Pavlovic,free-agent,Serbia,ST,4,2,4,5,5,2,6,0,0,
Eden Willems,free-agent,Belgium,DEF,5,3,5,5,3,4,5,0,0,
Emil Ekstrom,free-agent,Sweden,DEF,5,2,5,6,3,5,4,0,0,
Emil Nilsson,free-agent,Sweden,FWD,4,3,5,5,4,2,3,0,0,
Erling Anderson,free-agent,Norway,MID,5,1,4,5,2,3,5,0,0,
Erling Haaland,free-agent,Norway,FWD,5,5,4,6,5,2,5,0,0,icon
Felix Kalla,free-agent,Germany,DEF,5,3,6,5,1,4,3,0,0,
Gavi Delgado,free-agent,Spain,MID,5,4,5,5,2,3,4,0,0,
Harry Gilbert,free-agent,England,FWD,4,4,6,4,4,3,3,0,0,
Ismael Nazef,free-agent,Algeria,MID,5,2,6,4,3,3,4,0,0,
Itumeleng Nkosi,free-agent,South Africa,GK,6,2,4,6,0,0,5,4,4,
John Kerr,free-agent,Scotland,FWD,5,2,4,4,3,3,3,0,0,
Kevin De Bruyne,free-agent,Belgium,MID,4,6,5,5,6,4,2,0,0,icon
Kieran Stewart,free-agent,Scotland,MID,5,4,5,5,4,3,3,0,0,
Leon Kucklick,free-agent,Germany,FWD,5,5,5,5,3,2,3,0,0,
Liam O'Conner,free-agent,Ireland,DEF,5,2,5,4,1,3,3,0,0,
Lionel Ruiz,free-agent,Argentina,MID,6,5,5,3,4,1,2,0,0,
Luka Brisic,free-agent,Croatia,FWD,4,5,4,5,5,2,3,0,0,
Marco Longo,free-agent,Italy,DEF,4,2,3,6,2,6,6,0,0,
Memphis Marell,free-agent,Netherlands,DEF,4,1,4,6,3,5,6,0,0,
Neymar Andre,free-agent,Brazil,FWD,4,6,5,5,4,1,3,0,0,
Neymar Jr,free-agent,Brazil,FWD,6,5,3,5,6,3,4,0,0,icon
Nicolae Rusu,free-agent,Romania,ST,4,4,4,5,6,1,4,0,0,
Oliver Fruin,free-agent,England,ST,4,3,4,6,5,1,6,0,0,
Oliver Goaley,free-agent,England,FWD,4,4,6,5,4,3,3,0,0,
Oliver Littlewood,free-agent,England,DEF,4,4,6,5,4,4,4,0,0,
Oliver Walker,free-agent,England,GK,6,1,4,6,0,0,5,5,3,
Paolo Maldini,free-agent,Italy,DEF,5,5,4,6,1,5,6,0,0,legend
Paul Iwu,free-agent,France,MID,5,3,4,6,4,3,4,0,0,
Pelé,free-agent,Brazil,FWD,5,6,4,6,5,1,5,0,0,legend
Radu Patras,free-agent,Moldova,DEF,6,1,4,4,3,2,3,0,0,
Ronaldinho,free-agent,Brazil,FWD,6,5,5,6,5,2,3,0,0,legend
Stevan Toothnail,free-agent,Montenegro,DEF,5,2,5,6,2,4,4,0,0,
Steven Mitchell,free-agent,Northern Ireland,FWD,4,3,5,4,4,1,3,0,0,
Thiago Lessa,free-agent,Brazil,DEF,5,2,5,6,2,5,4,0,0,
Tim Firrell,free-agent,Australia,GK,5,1,5,6,0,0,6,3,4,
Tomas Vrabec,free-agent,Czech Republic,DEF,5,1,4,6,2,5,6,0,0,
Tyler Dionte,free-agent,United States,DEF,4,2,4,6,3,4,6,0,0,
Van De Kerkhof,free-agent,Netherlands,FWD,5,5,6,4,4,1,2,0,0,
Victor Sesay,free-agent,Nigeria,ST,6,2,4,3,5,2,2,0,0,
Vinicius Eubsinno,free-agent,Brazil,GK,5,3,6,6,0,0,6,4,3,
Virgil van Dijk,free-agent,Netherlands,DEF,4,5,5,6,2,5,5,0,0,icon
Virgil Werdekker,free-agent,Netherlands,DEF,4,3,6,4,4,5,3,0,0,
Yaya Abraham,free-agent,Ivory Coast,MID,5,1,6,4,1,3,4,0,0,
Zinedine Zidane,free-agent,France,MID,4,6,6,5,4,4,3,0,0,legend
Aaron Long,la,US,DEF,5,3,3,6,1,4,5,0,0,
David Martínez,la,Venezuela,FWD,5,4,6,4,5,3,2,0,0,
Denis Bouanga,la,Gabon,ST,6,4,5,5,6,1,5,0,0,
Eddie Segura,la,Colombia,DEF,4,3,3,4,2,5,3,0,0,
Hugo Lloris,la,France,GK,4,3,4,6,0,0,4,5,5,
Mark Delgado,la,US,MID,5,6,5,4,1,3,5,0,0,
Mathieu Choinière,la,Canada,MID,6,2,4,4,3,3,4,0,0,
Ryan Hollingshead,la,US,DEF,4,3,1,6,1,4,5,0,0,
Ryan Porteous,la,Scotland,DEF,4,3,5,3,3,3,6,0,0,
Son Heung-min,la,South Korea,FWD,6,4,6,4,6,2,4,0,0,
Timothy Tillman,la,US,MID,4,4,4,6,3,2,4,0,0,
Cesar Montes,mexico,Mexico,DEF,4,1,4,5,5,6,5,0,0,
Edson Alvarez,mexico,Mexico,MID,5,3,5,6,1,6,6,0,0,
Erick Sanchez,mexico,Mexico,MID,5,4,5,6,3,2,3,0,0,
Guillermo Ochoa,mexico,Mexico,GK,4,2,4,6,0,0,4,5,4,
Hirving Lozano,mexico,Mexico,FWD,6,5,5,3,5,3,3,0,0,
Jesus Gallardo,mexico,Mexico,DEF,5,1,5,4,4,4,3,0,0,
Johan Vasquez,mexico,Mexico,DEF,5,1,5,5,2,3,5,0,0,
Jorge Sanchez,mexico,Mexico,DEF,6,5,3,5,2,3,4,0,0,
Luis Chavez,mexico,Mexico,MID,5,5,5,3,5,2,1,0,0,
Santiago Gimenez,mexico,Mexico,FWD,5,4,3,5,5,2,6,0,0,
