Player,Team,Nationality,Position,Pace,Dribbling,Heading,Highpass,Resilience,Shooting,Tackling,Aerial Ability,Saving,Handling
John Kerr,Xolos,Scotland,FWD,5,2,3,4,4,3,3,,,
Yaya Abraham,Xolos,Ivory Coast,MID,5,1,4,6,4,1,3,,,
Emil Nilsson,Xolos,Sweden,FWD,4,3,3,5,5,4,2,,,
Dusan Pavlovic,Xolos,Serbia,ST,4,2,6,4,5,5,1,,,
Alphonso Taylor,Xolos,Canada,DEF,5,2,4,6,3,2,5,,,
Cengiz K. Ozcan,Xolos,Turkey,DEF,4,1,6,5,6,2,3,,,
Leon Kucklick,Xolos,Germany,MID,5,5,3,5,5,3,2,,,
Luka Brisic,Xolos,Croatia,FWD,4,5,3,4,5,5,2,,,
Harry Gilbert,Xolos,England,FWD,4,4,3,6,4,4,3,,,
Christian Walton,Xolos,United States,DEF,6,3,3,6,3,4,3,,,
Oliver Walker,Xolos,England,GK,6,1,,4,6,,,5,5,2
